Universidad,url_universidad,ciudad,estado,n_profesores
",ESIQIE.-IPN........",https://www.misprofesores.com/escuelas/ESIQIEIPN_11259, cd de mexico.,CD DE MEXICO,1
",ESIQIE.-IPN.........",https://www.misprofesores.com/escuelas/ESIQIEIPN_11260,    cd de mexico.,CD DE MEXICO,1
",ESIQIE.-IPN..........",https://www.misprofesores.com/escuelas/ESIQIEIPN_11261, cd de mexico.,CD DE MEXICO,1
",ESIQIE.-IPN...........",https://www.misprofesores.com/escuelas/ESIQIEIPN_11262, cd de mexico.,CD DE MEXICO,1
",ESIQIE.-IPN............",https://www.misprofesores.com/escuelas/ESIQIEIPN_11263,    cd de mexico.,CD DE MEXICO,1
",ESIQIE.-IPN.............",https://www.misprofesores.com/escuelas/ESIQIEIPN_11264,    cd de mexico.,CD DE MEXICO,1
",ESIQIE.-IPN..............",https://www.misprofesores.com/escuelas/ESIQIEIPN_11265, cd de mexico.,MEXICO,1
",ESIQIE.-IPN...............",https://www.misprofesores.com/escuelas/ESIQIEIPN_11266,    cd de mexico.,CD DE MEXICO,1
",INSTITUTO  POLITECNICO NACIONAL",https://www.misprofesores.com/escuelas/INSTITUTO-POLITECNICO-NACIONAL_6099,MÉXICO,MÉXICO,25
",INSTITUTO POLITECNICO NACIONAL- ESIQIE",https://www.misprofesores.com/escuelas/INSTITUTO-POLITECNICO-NACIONAL-ESIQIE_11081, cd de mexico.,CD DE MEXICO,36
",INSTITUTO POLITECNICO NACIONAL- ESIQIE.",https://www.misprofesores.com/escuelas/INSTITUTO-POLITECNICO-NACIONAL-ESIQIE_11082, cd de mexico.,CD DE MEXICO,28
",INSTITUTO POLITECNICO NACIONAL-ESIQIE,",https://www.misprofesores.com/escuelas/INSTITUTO-POLITECNICO-NACIONALESIQIE_11083,    cd de mexico.,CD DE MEXICO,31
",INSTITUTO POLITECNICO NACIONAL-ESIQIE-",https://www.misprofesores.com/escuelas/INSTITUTO-POLITECNICO-NACIONALESIQIE_11084,    cd de mexico.,CD DE MEXICO,32
",UNIVERSIDAD NACIONAL AUTONOMA D MEXICO",https://www.misprofesores.com/escuelas/UNIVERSIDAD-NACIONAL-AUTONOMA-D-MEXICO_6110,MEXICO,MEXICO,4
",UNIVERSIDAD NACIONAL AUTONOMA DE MÉXICO",https://www.misprofesores.com/escuelas/UNIVERSIDAD-NACIONAL-AUTONOMA-DE-MEXICO_6109,MEXICO,MEXICO,34
",world english",https://www.misprofesores.com/escuelas/world-english_6153,MÉXICO,MÉXICO,1
-ESIQIE-IPN,https://www.misprofesores.com/escuelas/ESIQIEIPN_11247,MEXICO,MEXICO,1
-ESIQIE-IPN.,https://www.misprofesores.com/escuelas/ESIQIEIPN_11248,MEXICO,CD DE MEXICO,1
0 ESIQIE-IPN,https://www.misprofesores.com/escuelas/0-ESIQIEIPN_11222,    cd de mexico.,MEXICO,2
"1,2 e 3 por:IPN  - ESIQIE",https://www.misprofesores.com/escuelas/12-e-3-porIPN-ESIQIE_11074,    cd de mexico.,CD DE MEXICO,23
"1,2 y 3 por la ESIQIE  -  IPN",https://www.misprofesores.com/escuelas/12-y-3-por-la-ESIQIE-IPN_11073, cd de mexico.,CD DE MEXICO,28
"1,2 y 3 por: ESIQIE  -  IPN",https://www.misprofesores.com/escuelas/12-y-3-por-ESIQIE-IPN_11072,    cd de mexico.,CD DE MEXICO,32
"1,2,3 por: E S I Q I E  -  IPN",https://www.misprofesores.com/escuelas/123-por-E-S-I-Q-I-E-IPN_11070, cd de mexico.,CD DE MEXICO,26
"1,2,3,4 por: IPN  - ESIQIE",https://www.misprofesores.com/escuelas/1234-por-IPN-ESIQIE_11075, cd de mexico.,CD DE MEXICO,1
10- ESIQIE-IPN,https://www.misprofesores.com/escuelas/10-ESIQIEIPN_11223, cd de mexico.,CD DE MEXICO,1
10- ESIQIE-IPN.,https://www.misprofesores.com/escuelas/10-ESIQIEIPN_11224,    cd de mexico.,CD DE MEXICO,1
10- ESIQIE-IPN..,https://www.misprofesores.com/escuelas/10-ESIQIEIPN_11225,MEXICO,MEXICO,1
10- ESIQIE-IPN...,https://www.misprofesores.com/escuelas/10-ESIQIEIPN_11226,    cd de mexico.,CD DE MEXICO,1
10- ESIQIE-IPN....,https://www.misprofesores.com/escuelas/10-ESIQIEIPN_11227, cd de mexico.,CD DE MEXICO,1
10- ESIQIE-IPN.....,https://www.misprofesores.com/escuelas/10-ESIQIEIPN_11228,    cd de mexico.,CD DE MEXICO,1
10- ESIQIE-IPN......,https://www.misprofesores.com/escuelas/10-ESIQIEIPN_11229, cd de mexico.,MEXICO,1
10- ESIQIE-IPN.......,https://www.misprofesores.com/escuelas/10-ESIQIEIPN_11230,    cd de mexico.,CD DE MEXICO,1
10- ESIQIE-IPN........,https://www.misprofesores.com/escuelas/10-ESIQIEIPN_11231,    cd de mexico.,CD DE MEXICO,1
10- ESIQIE-IPN.........,https://www.misprofesores.com/escuelas/10-ESIQIEIPN_11232,    cd de mexico.,MEXICO,1
10- ESIQIE-IPN..........,https://www.misprofesores.com/escuelas/10-ESIQIEIPN_11233, cd de mexico.,CD DE MEXICO,1
102 ninos heroes,https://www.misprofesores.com/escuelas/102-ninos-heroes_7172,mexico,jalisco,3
12 de octubre,https://www.misprofesores.com/escuelas/12-de-octubre_10878,Huimanguillo,Tabasco,2
16 de Septiembre,https://www.misprofesores.com/escuelas/16-de-Septiembre_6817,Estado de México,México,31
18 De Marzo,https://www.misprofesores.com/escuelas/18-De-Marzo_10349,San Luis Potosí,Soledad De Graciano Sánchez,2
180 Octavio paz,https://www.misprofesores.com/escuelas/180-Octavio-paz_9375,Ciudad de mexico,Xochimilco ,2
180 Octavio paz,https://www.misprofesores.com/escuelas/180-Octavio-paz_9376,CDMX,Xochimilco ,2
21 de marzo,https://www.misprofesores.com/escuelas/21-de-marzo_7914,Emiliano Zapata ,Morelos ,2
24 de febrero,https://www.misprofesores.com/escuelas/24-de-febrero_4895,chiapilla,chiapas,3
5 de mayo de 1862,https://www.misprofesores.com/escuelas/5-de-mayo-de-1862_6932,Zacapoaxtla ,Puebla,2
51 mixta revolución mexicana,https://www.misprofesores.com/escuelas/51-mixta-revolucion-mexicana_6963,Tlaquepaque,Jalisco,2
"A ES1Q1E DEL 1PN, LLEGÓ $1LVA 0L1VER 6PE-A DESV1AR-RECURS0S-",https://www.misprofesores.com/escuelas/A-ES1Q1E-DEL-1PN-LLEGO-1LVA-0L1VER-6PEA-DESV1ARRECURS0S_12175, cd de mexico.,CD DE MEXICO,1
"A ES1Q1E-1PN , LLEGÓ LA DESVIADORA, SILVA OLIVER GUADALUPA",https://www.misprofesores.com/escuelas/A-ES1Q1E1PN-LLEGO-LA-DESVIADORA-SILVA-OLIVER-GUADALUPA_12180,CD DE MEXICO,CD DE MEXICO,1
A qui en ES1Q1E-1PN está tr4nzando la R4TA S1lva Ol1ver 6PE,https://www.misprofesores.com/escuelas/A-qui-en-ES1Q1E1PN-esta-tr4nzando-la-R4TA-S1lva-Ol1ver-6PE_12159,    cd de mexico.,CD DE MEXICO,1
